Type,Other_Type,HP,Attack,Defense,Special_Attack,Special_Defense,Speed,Total,Generation,Legendary
91.0,38.0,45.0,49.0,49.0,65.0,65.0,45.0,318.0,1.0,0.0
91.0,38.0,60.0,62.0,63.0,80.0,80.0,60.0,405.0,1.0,0.0
91.0,38.0,80.0,82.0,,100.0,100.0,80.0,525.0,1.0,
91.0,38.0,80.0,100.0,123.0,122.0,120.0,,625.0,1.0,
65.0,,39.0,52.0,43.0,60.0,50.0,65.0,309.0,,
65.0,492.0,58.0,,,80.0,65.0,80.0,,,0.0
65.0,112.0,78.0,84.0,78.0,109.0,,100.0,534.0,1.0,0.0
65.0,,78.0,130.0,111.0,,85.0,100.0,634.0,1.0,0.0
65.0,,,104.0,78.0,159.0,115.0,,634.0,1.0,0.0
134.0,492.0,44.0,48.0,65.0,50.0,64.0,43.0,314.0,1.0,0.0
134.0,492.0,,63.0,80.0,65.0,80.0,58.0,405.0,1.0,0.0
134.0,492.0,,83.0,100.0,85.0,105.0,78.0,530.0,1.0,0.0
,492.0,79.0,103.0,120.0,135.0,115.0,78.0,630.0,1.0,0.0
,492.0,45.0,30.0,35.0,20.0,20.0,45.0,195.0,1.0,0.0
81.0,492.0,50.0,20.0,55.0,25.0,25.0,30.0,205.0,1.0,0.0
81.0,112.0,60.0,45.0,50.0,,80.0,70.0,395.0,,0.0
81.0,38.0,40.0,35.0,30.0,20.0,,,195.0,1.0,0.0
81.0,38.0,45.0,25.0,,25.0,,35.0,205.0,,0.0
81.0,38.0,,90.0,40.0,,80.0,75.0,395.0,1.0,0.0
81.0,38.0,65.0,150.0,40.0,15.0,80.0,,495.0,1.0,0.0
,112.0,40.0,45.0,40.0,35.0,35.0,56.0,251.0,1.0,0.0
115.0,,63.0,60.0,55.0,50.0,50.0,71.0,349.0,1.0,0.0
115.0,112.0,83.0,80.0,75.0,70.0,70.0,,479.0,1.0,0.0
,112.0,83.0,80.0,80.0,135.0,80.0,,579.0,,0.0
115.0,492.0,30.0,56.0,35.0,25.0,35.0,72.0,,1.0,0.0
,11.0,30.0,56.0,35.0,25.0,35.0,72.0,253.0,1.0,0.0
115.0,492.0,55.0,81.0,60.0,50.0,70.0,,413.0,1.0,0.0
46.0,11.0,75.0,71.0,70.0,,80.0,77.0,,1.0,0.0
115.0,112.0,40.0,60.0,,,31.0,70.0,,,0.0
115.0,112.0,65.0,,65.0,61.0,61.0,100.0,442.0,1.0,
41.0,492.0,35.0,60.0,,40.0,54.0,55.0,288.0,1.0,0.0
41.0,492.0,60.0,95.0,69.0,65.0,79.0,80.0,448.0,1.0,0.0
62.0,492.0,35.0,55.0,,50.0,50.0,90.0,320.0,1.0,0.0
62.0,,45.0,80.0,50.0,75.0,60.0,120.0,430.0,1.0,0.0
62.0,492.0,60.0,90.0,55.0,90.0,80.0,110.0,485.0,1.0,0.0
62.0,,60.0,85.0,,95.0,85.0,110.0,485.0,1.0,
41.0,492.0,50.0,,85.0,20.0,30.0,40.0,300.0,1.0,0.0
,35.0,50.0,75.0,90.0,10.0,35.0,40.0,300.0,1.0,0.0
41.0,492.0,75.0,100.0,110.0,45.0,,65.0,450.0,,0.0
37.0,35.0,75.0,100.0,120.0,25.0,65.0,65.0,,1.0,0.0
41.0,492.0,,47.0,,40.0,40.0,41.0,275.0,1.0,
41.0,492.0,70.0,62.0,,55.0,55.0,,365.0,1.0,0.0
41.0,39.0,,92.0,87.0,75.0,85.0,,505.0,1.0,0.0
41.0,492.0,46.0,57.0,40.0,40.0,40.0,50.0,273.0,1.0,0.0
41.0,492.0,61.0,72.0,57.0,55.0,55.0,65.0,365.0,1.0,0.0
41.0,39.0,81.0,102.0,77.0,85.0,75.0,85.0,,1.0,0.0
22.0,492.0,70.0,45.0,48.0,60.0,65.0,35.0,323.0,1.0,0.0
22.0,492.0,95.0,70.0,73.0,95.0,90.0,60.0,483.0,1.0,0.0
65.0,492.0,38.0,41.0,,,,65.0,299.0,1.0,0.0
37.0,,38.0,41.0,40.0,50.0,,65.0,299.0,1.0,0.0
